Initialising cli_login_postgres role...
Connecting to remote database...

  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   0001           | 0001           | 0001                
   20240726000000 | 20240726000000 | 2024-07-26 00:00:00 
   20250819055846 |                | 2025-08-19 05:58:46 
   20250819055850 |                | 2025-08-19 05:58:50 
   20250819111902 |                | 2025-08-19 11:19:02 
   20250822000000 |                | 2025-08-22 00:00:00 
   20250822133000 |                | 2025-08-22 13:30:00 
   20250822       |                | 20250822            
   20250916134040 |                | 2025-09-16 13:40:40 
   20250916134120 |                | 2025-09-16 13:41:20 
   20250916134205 |                | 2025-09-16 13:42:05 
   20250916134230 |                | 2025-09-16 13:42:30 
   20250917060047 |                | 2025-09-17 06:00:47 
   20250917060136 |                | 2025-09-17 06:01:36 
   20250917060209 |                | 2025-09-17 06:02:09 
   20250917060233 |                | 2025-09-17 06:02:33 
   20250917060303 |                | 2025-09-17 06:03:03 
   20250917060338 |                | 2025-09-17 06:03:38 
   20250917060421 |                | 2025-09-17 06:04:21 
   20250917060432 |                | 2025-09-17 06:04:32 
   20250917060458 |                | 2025-09-17 06:04:58 
   20250918061307 |                | 2025-09-18 06:13:07 
   20250918061335 |                | 2025-09-18 06:13:35 
   20250922000000 |                | 2025-09-22 00:00:00 
   20250922000001 |                | 2025-09-22 00:00:01 
   20250922       |                | 20250922            
   20260112000000 | 20260112000000 | 2026-01-12 00:00:00 
   20260113000000 | 20260113000000 | 2026-01-13 00:00:00 
   20260113000001 | 20260113000001 | 2026-01-13 00:00:01 
   20260113000002 | 20260113000002 | 2026-01-13 00:00:02 
   20260113000003 | 20260113000003 | 2026-01-13 00:00:03 
   20260113000004 | 20260113000004 | 2026-01-13 00:00:04 
   20260113000005 | 20260113000005 | 2026-01-13 00:00:05 
   20260113000006 | 20260113000006 | 2026-01-13 00:00:06 
   20260114000001 | 20260114000001 | 2026-01-14 00:00:01 
   20260114000002 | 20260114000002 | 2026-01-14 00:00:02 
   20260115000000 | 20260115000000 | 2026-01-15 00:00:00 
   20260115000001 | 20260115000001 | 2026-01-15 00:00:01 
   20260115000002 | 20260115000002 | 2026-01-15 00:00:02 
   20260115000003 | 20260115000003 | 2026-01-15 00:00:03 
   20260115000004 | 20260115000004 | 2026-01-15 00:00:04 
   20260115000005 | 20260115000005 | 2026-01-15 00:00:05 
   20260116000001 | 20260116000001 | 2026-01-16 00:00:01 
   20260116000002 | 20260116000002 | 2026-01-16 00:00:02 
   20260116000003 | 20260116000003 | 2026-01-16 00:00:03 
   20260117000001 | 20260117000001 | 2026-01-17 00:00:01 
   20260118000001 | 20260118000001 | 2026-01-18 00:00:01 
   20260118000003 | 20260118000003 | 2026-01-18 00:00:03 
   20260118000004 | 20260118000004 | 2026-01-18 00:00:04 
   20260118000005 | 20260118000005 | 2026-01-18 00:00:05 
   20260118000006 | 20260118000006 | 2026-01-18 00:00:06 
   20260118000007 | 20260118000007 | 2026-01-18 00:00:07 
   20260118000008 | 20260118000008 | 2026-01-18 00:00:08 
   20260118000010 | 20260118000010 | 2026-01-18 00:00:10 
   20260118000011 | 20260118000011 | 2026-01-18 00:00:11 
   20260118000012 | 20260118000012 | 2026-01-18 00:00:12 
   20260118000013 | 20260118000013 | 2026-01-18 00:00:13 
   20260119000001 | 20260119000001 | 2026-01-19 00:00:01 
   20260119000002 | 20260119000002 | 2026-01-19 00:00:02 
   20260119000003 | 20260119000003 | 2026-01-19 00:00:03 
   20260119000004 | 20260119000004 | 2026-01-19 00:00:04 
   20260121000000 | 20260121000000 | 2026-01-21 00:00:00 
   20260121000001 | 20260121000001 | 2026-01-21 00:00:01 
   20260121000002 | 20260121000002 | 2026-01-21 00:00:02 
   20260121000003 | 20260121000003 | 2026-01-21 00:00:03 
   20260121000004 | 20260121000004 | 2026-01-21 00:00:04 
   20260121000005 | 20260121000005 | 2026-01-21 00:00:05 
   20260121000006 | 20260121000006 | 2026-01-21 00:00:06 
   20260121000007 | 20260121000007 | 2026-01-21 00:00:07 
   20260121000008 | 20260121000008 | 2026-01-21 00:00:08 
   20260121000009 | 20260121000009 | 2026-01-21 00:00:09 
   20260121000010 | 20260121000010 | 2026-01-21 00:00:10 
   20260121000011 | 20260121000011 | 2026-01-21 00:00:11 
   20260121000012 | 20260121000012 | 2026-01-21 00:00:12 
   20260121000014 | 20260121000014 | 2026-01-21 00:00:14 
   20260129001    | 20260129001    | 20260129001         
   20260129002    | 20260129002    | 20260129002         
   20260129003    | 20260129003    | 20260129003         
   20260130001    |                | 20260130001         

A new version of Supabase CLI is available: v2.75.0 (currently installed v2.33.9)
We recommend updating regularly for new features and bug fixes: https://supabase.com/docs/guides/cli/getting-started#updating-the-supabase-cli
